,Mirc56_01,Mirc56_02,Mirc56_03,Mirc56_04,Mirc56_05,Mirc56_06,Mirc56_07,Mirc56_08,Mirc56_09,Mirc56_10,Mirc56_11,Mirc56_12,Mirc56_13,Mirc56_14,Mirc56_15,Mirc56_16,Mirc56_17
PB_single1_024,0.86128671,0,0,5.70E-05,0.00068341,0.000341705,0.000360689,0.000151869,0.000284754,0.000550525,1,9.49E-05,0.000113902,0,0.000170853,0.000436623,0.00020882
PB_single1_025,0.612644935,4.38E-05,0.000175016,0.652023627,0.002493984,0.000350033,0.00074382,0.000525049,0.315817108,0.164296653,0.002275213,0.29525268,1,0.000262525,0.497746664,0.001137607,0.000612557
PB_single1_026,0.001586912,0.001832505,3.78E-05,0.002871555,0.584285795,0.000963482,0.002323692,0.004023955,0.000132243,1,0.014886744,0.001794722,0.005837568,0.001908072,0.001416885,0.001756938,0.005346381
PB_single1_027,0.970379208,0.000103751,0,0.000259376,0.348135083,0.00274939,0.704777714,0.632411682,0.000570628,0.305701095,1,0.000674379,0.00088188,0.000311252,0.271982155,0.707527105,0.001193132
PB_single1_029,0.942677386,0,0,0.000489339,0.003215659,0.000768962,0.529674939,0.00111849,0.405941978,0.003075848,0.484865432,0.855714785,0.48409647,0,0.002027263,1,0.001677735
PB_single1_030,0.00223894,2.99E-05,0.001014986,5.97E-05,0.001791152,0.524837304,1,0,0.001761299,2.99E-05,0.390620336,0,0.00035823,8.96E-05,0.000716461,0.000388083,0.600125381
PB_single1_031,0.001407129,0,0.000144321,0,1,0.892661279,0.00144321,0.000432963,7.22E-05,0.000144321,0.000108241,0.000108241,0.000649444,3.61E-05,0.000469043,0.915463992,0.000613364
PB_single1_033,0.003201926,0,0.000870924,2.56E-05,0.003483696,1,0.304182996,2.56E-05,0.652603806,0.000486693,0.00094777,0,7.68E-05,0,0.001255155,0.000742847,0.346602116
PB_single1_034,1,0.001999021,0.000135988,0.003522084,0.784350522,0.001536662,0.000516754,0.000149587,0.000489556,0.000407963,0.007751305,0.002148607,0.00178144,0.004378808,0.001876632,0.003046127,0.002434182
PB_single1_036,0.004045472,6.15E-06,0,1.23E-05,0.000368888,1,0.000731628,4.30E-05,0.000141407,4.92E-05,0.000178296,6.15E-06,1.84E-05,3.07E-05,0.000110666,0.001487848,0.00029511
PB_single1_039,0.000261806,0,0.000261806,3.54E-05,5.66E-05,0.000240579,0.000120289,2.83E-05,1,0.000290109,0.000297185,0,0.000198123,2.12E-05,5.66E-05,0.000275958,0.000353792
PB_single1_041,0.014898527,0.007907419,0.004903957,0.004157334,0.005667549,0.011844159,0.003953709,0.013778592,0.001001154,0.019378266,0.956984321,0,1,0.009587321,3.39E-05,0.011352067,0.013354375
PB_single1_042,0.000385781,1.84E-05,3.67E-05,0,0.000220446,0.000845045,9.19E-05,0.000165335,0.002167723,1,0.000845045,0,0.000404152,0.000128594,9.19E-05,0.508900524,7.35E-05
PB_single1_044,0.000490244,7.84E-05,3.92E-05,3.92E-05,0.000411805,0.869634278,0.001019708,0.000235317,0.000980488,0.001411903,0.000941269,1.96E-05,0.001372684,5.88E-05,0.000254927,1,0.000117659
PB_single1_046,1,0.30020558,0.002349486,0.000587372,0.301497797,0.006226138,0.331101322,0.003406755,0.567342144,0.344317181,0.365286344,0.000587372,0.272187959,0.669309838,0.284933921,0.006754772,0.30948605
